X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-77.0232422903941,38.8948587863045,13338982,38.894851,-77.02324,8th & D St NW,classic,248,active,2021/08/05 13:49:30+00,8,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0159722896162,38.9176297911222,13338983,38.917622,-77.01597,3rd & Elm St NW,classic,249,active,2021/08/05 14:53:11+00,13,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0047482860609,38.918162791453,13338984,38.918155,-77.004746,Rhode Island Ave & V St NE,classic,250,active,2021/08/05 12:05:11+00,19,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0139192874844,38.8922827862616,13338985,38.892275,-77.013917,Constitution Ave & 2nd St NW/DOL,classic,251,active,2021/08/05 14:29:07+00,5,0,20,1,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,27,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0137712870355,38.8869857853623,13338986,38.886978,-77.013769,Washington & Independence Ave SW/HHS,classic,252,active,2021/08/05 15:11:29+00,1,0,28,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,31,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0257642909132,38.8873197842693,13338987,38.887312,-77.025762,Independence Ave & L'Enfant Plaza SW/DOE,classic,253,active,2021/08/05 14:55:16+00,0,0,13,1,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-76.9971962838899,38.9275047940807,13338988,38.927497,-76.997194,Hamlin & 7th St NE,classic,254,active,2021/08/05 14:13:14+00,15,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0866013085013,38.8624857773508,13338989,38.862478,-77.086599,Columbia Pike & S Walter Reed Dr,classic,255,active,2021/08/05 14:30:10+00,8,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,12,"KEY,CREDITCARD",41,2021/08/05 11:19:31+00,,"Arlington, VA"
-77.111532315547,38.8563267752033,13338990,38.856319,-77.11153,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,classic,256,active,2021/08/05 08:11:11+00,5,0,10,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/08/05 11:19:31+00,,"Arlington, VA"
-77.1079083159126,38.8718297786107,13338991,38.871822,-77.107906,Pershing Dr & N George Mason Dr,classic,257,active,2021/08/05 14:53:41+00,10,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",41,2021/08/05 11:19:31+00,,"Arlington, VA"
-77.0230842956748,38.9854118043059,13338992,38.985404,-77.023082,Fenton St & New York Ave ,classic,258,active,2021/08/05 08:11:11+00,12,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-77.0974283187157,38.9811108007184,13338993,38.981103,-77.097426,Bethesda Ave & Arlington Rd,classic,259,active,2021/08/05 13:37:59+00,5,0,14,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-77.0922123174111,38.9838458018867,13338994,38.983838,-77.09221,Montgomery Ave & Waverly St ,classic,260,active,2021/08/05 13:31:51+00,7,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-77.1926743560733,39.0963198206333,13338995,39.096312,-77.192672,Fallsgrove Blvd & Fallsgrove Dr,classic,261,active,2021/08/05 11:42:12+00,12,0,5,0,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",43,2021/08/05 11:19:31+00,,"Montgomery County, MD (North)"
-77.2025033586868,39.0937908197856,13338996,39.093783,-77.202501,Traville Gateway Dr & Gudelsky Dr,classic,262,active,2021/08/05 08:11:12+00,15,0,3,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",43,2021/08/05 11:19:31+00,,"Montgomery County, MD (North)"
-77.09654131927,38.9885698025265,13338997,38.988562,-77.096539,Norfolk Ave & Fairmont St,classic,263,active,2021/08/05 11:37:07+00,5,0,6,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-77.1512933418352,39.0841328192818,13338998,39.084125,-77.151291,E Montgomery Ave & Maryland Ave,classic,264,active,2021/08/05 12:19:06+00,2,0,13,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",43,2021/08/05 11:19:31+00,,"Montgomery County, MD (North)"
-77.0980313193571,38.9895478026163,13338999,38.98954,-77.098029,Cordell & Norfolk Ave,classic,265,active,2021/08/05 12:04:28+00,5,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",44,2021/08/05 11:19:31+00,,"Montgomery County, MD (South)"
-77.1452153402236,39.0947798223777,13339000,39.094772,-77.145213,Frederick Ave & Horners Ln,classic,266,active,2021/08/05 08:11:14+00,5,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,9,"KEY,CREDITCARD",43,2021/08/05 11:19:31+00,,"Montgomery County, MD (North)"
